X,Y,AddSystem,UTAddPtID,FullAdd,AddNum,AddNumSuff,PrefixDir,StreetName,StreetType,SuffixDir,LandmarkNa,Building,UnitType,UnitID,City,ZipCode,CountyID,State,PtLocation,PtType,Structure,ParcelID,AddSource,LoadDate
-111.6374430862504,40.248516233170704,PROVO,PROVO | 1135 N CHERRY LN,1135 N CHERRY LN,1135,,N,CHERRY,LN,,,,,,PROVO,84604,49049,UT,,,,380520003,UTAH COUNTY,2013/06/19
-111.642891562925527,40.24690666960835,PROVO,PROVO | 992 N 900 E,992 N 900 E,992,,N,900,,E,,,,,PROVO,84604,49049,UT,,,,362990800,UTAH COUNTY,2013/06/19
-111.64254071478716,40.246906095499526,PROVO,PROVO | 986 N 900 E,986 N 900 E,986,,N,900,,E,,,,,PROVO,84604,49049,UT,,,,363470800,UTAH COUNTY,2013/06/19
-111.642497809964709,40.246907144545645,PROVO,PROVO | 982 N 900 E,982 N 900 E,982,,N,900,,E,,,,,PROVO,84604,49049,UT,,,,363470800,UTAH COUNTY,2013/06/19
-111.64249989849354,40.246618203960779,PROVO,PROVO | 966 N 900 E,966 N 900 E,966,,N,900,,E,,,,,PROVO,84604,49049,UT,,,,362790800,UTAH COUNTY,2013/06/19
-111.636704611390115,40.245733714493205,PROVO,PROVO | 885 N 1260 E,885 N 1260 E,885,,N,1260,,E,,,,,PROVO,84604,49049,UT,,,,520340005,UTAH COUNTY,2013/06/19
-111.637354737483491,40.246467909537635,PROVO,PROVO | 1205 E 930 N,1205 E 930 N,1205,,E,930,,N,,,,,PROVO,84604,49049,UT,,,,520340025,UTAH COUNTY,2013/06/19
-111.637406147813223,40.245844451349171,PROVO,PROVO | 878 N 1200 E,878 N 1200 E,878,,N,1200,,E,,,,,PROVO,84604,49049,UT,,,,520340009,UTAH COUNTY,2013/06/19
-111.637824211349809,40.253156454686078,PROVO,PROVO | 1220 E CEDAR AVE,1220 E CEDAR AVE,1220,,E,CEDAR,AVE,,,,,,PROVO,84604,49049,UT,,,,360910035,UTAH COUNTY,2013/06/19
-111.639834942676003,40.251423134131734,PROVO,PROVO | 1097 E BRIAR AVE,1097 E BRIAR AVE,1097,,E,BRIAR,AVE,,,,,,PROVO,84604,49049,UT,,,,200750049,UTAH COUNTY,2013/06/19
-111.64199343311364,40.250156992832117,PROVO,PROVO | 975 E BRIAR AVE,975 E BRIAR AVE,975,,E,BRIAR,AVE,,,,,,PROVO,84604,49049,UT,,,,200760034,UTAH COUNTY,2013/06/19
-111.641432827999964,40.250046764234582,PROVO,PROVO | 980 E BRIAR AVE,980 E BRIAR AVE,980,,E,BRIAR,AVE,,,,,,PROVO,84604,49049,UT,,,,200760009,UTAH COUNTY,2013/06/19
-111.638069395110207,40.250829708445409,PROVO,PROVO | 1177 E ASH AVE,1177 E ASH AVE,1177,,E,ASH,AVE,,,,,,PROVO,84604,49049,UT,,,,200750108,UTAH COUNTY,2013/06/19
-111.636391528329213,40.251334009496901,PROVO,PROVO | 1328 N LOCUST LN,1328 N LOCUST LN,1328,,N,LOCUST,LN,,,,,,PROVO,84604,49049,UT,,,,200780039,UTAH COUNTY,2013/06/19
-111.637632518784912,40.251061223364239,PROVO,PROVO | 1199 E ASH AVE,1199 E ASH AVE,1199,,E,ASH,AVE,,,,,,PROVO,84604,49049,UT,,,,200750113,UTAH COUNTY,2013/06/19
-111.635496909768136,40.243609466274172,PROVO,PROVO | 733 N SEVEN PEAKS BLVD,733 N SEVEN PEAKS BLVD,733,,N,SEVEN PEAKS,BLVD,,,,,,PROVO,84606,49049,UT,,,,413220018,UTAH COUNTY,2013/06/19
-111.632825037040618,40.240730669846918,PROVO,PROVO | 596 N 1420 E,596 N 1420 E,596,,N,1420,,E,,,,,PROVO,84606,49049,UT,,,,391740068,UTAH COUNTY,2013/06/19
-111.632976186869072,40.233619131083003,PROVO,PROVO | 1300 E CENTER ST,1300 E CENTER ST,1300,,E,CENTER,ST,,,,,,PROVO,84606,49049,UT,,,,220050041,UTAH COUNTY,2013/06/19
-111.635367293621499,40.242119674205654,PROVO,PROVO | 1318 E 660 N,1318 E 660 N,1318,,E,660,,N,,,,,PROVO,84606,49049,UT,,,,342350043,UTAH COUNTY,2013/06/19
-111.635948001238958,40.241973957009108,PROVO,PROVO | 1278 E 610 N,1278 E 610 N,1278,,E,610,,N,,,,,PROVO,84606,49049,UT,,,,342360045,UTAH COUNTY,2013/06/19
-111.635995706623106,40.242322896566762,PROVO,PROVO | 1294 E 670 N,1294 E 670 N,1294,,E,670,,N,,,,,PROVO,84606,49049,UT,,,,342320033,UTAH COUNTY,2013/06/19
-111.635828028662075,40.242169127684583,PROVO,PROVO | 1308 E 670 N,1308 E 670 N,1308,,E,670,,N,,,,,PROVO,84606,49049,UT,,,,342320036,UTAH COUNTY,2013/06/19
-111.635092736613402,40.242304160744332,PROVO,PROVO | 1317 E 660 N,1317 E 660 N,1317,,E,660,,N,,,,,PROVO,84606,49049,UT,,,,342350037,UTAH COUNTY,2013/06/19
-111.636069386355473,40.240472605252776,PROVO,PROVO | 509 N BELMONT PL,509 N BELMONT PL,509,,N,BELMONT,PL,,,,,,PROVO,84606,49049,UT,,,,353120800,UTAH COUNTY,2013/06/19
-111.63496085941533,40.242144067786526,PROVO,PROVO | 1331 E 660 N,1331 E 660 N,1331,,E,660,,N,,,,,PROVO,84606,49049,UT,,,,342350040,UTAH COUNTY,2013/06/19
-111.642452362853717,40.230694106902227,PROVO,PROVO | 235 S 900 E,235 S 900 E,235,,S,900,,E,,,,,PROVO,84606,49049,UT,,,,220300059,UTAH COUNTY,2013/06/19
-111.641177059461853,40.227885216398676,PROVO,PROVO | 1002 E 420 S,1002 E 420 S,1002,,E,420,,S,,,,,PROVO,84606,49049,UT,,,,550050009,UTAH COUNTY,2013/06/19
-111.639885178626798,40.230785088244204,PROVO,PROVO | 1095 E 230 S,1095 E 230 S,1095,,E,230,,S,,,,,PROVO,84606,49049,UT,,,,570030020,UTAH COUNTY,2013/06/19
-111.641105074728756,40.230273543563278,PROVO,PROVO | 263 S 1000 E,263 S 1000 E,263,,S,1000,,E,,,,,PROVO,84606,49049,UT,,,,390060003,UTAH COUNTY,2013/06/19
-111.641106626094441,40.230836979621294,PROVO,PROVO | 211 S 1000 E,211 S 1000 E,211,,S,1000,,E,,,,,PROVO,84606,49049,UT,,,,390060007,UTAH COUNTY,2013/06/19
-111.641597439274577,40.230269824163109,PROVO,PROVO | 260 S 1000 E,260 S 1000 E,260,,S,1000,,E,,,,,PROVO,84606,49049,UT,,,,390060016,UTAH COUNTY,2013/06/19
-111.643870045040231,40.22847965903,PROVO,PROVO | 827 E 400 S,827 E 400 S,827,,E,400,,S,,,,,PROVO,84606,49049,UT,,,,550050025,UTAH COUNTY,2013/06/19
-111.629353674493416,40.21753654806124,PROVO,PROVO | 1204 S SLATE CANYON DR,1204 S SLATE CANYON DR,1204,,S,SLATE CANYON,DR,,,,,,PROVO,84606,49049,UT,,,,524700017,UTAH COUNTY,2013/06/19
-111.623648685653421,40.206367593873978,PROVO,PROVO | 2036 S PARK ST,2036 S PARK ST,2036,,S,PARK,ST,,,,,,PROVO,84606,49049,UT,,,,361270012,UTAH COUNTY,2013/06/19
-111.624446439517811,40.206484469402746,PROVO,PROVO | 1999 S CALIFORNIA AVE,1999 S CALIFORNIA AVE,1999,,S,CALIFORNIA,AVE,,,,,,PROVO,84606,49049,UT,,,,361270008,UTAH COUNTY,2013/06/19
